"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2","Group1.1","amel_OGSv3.2","gene",1263999,1263999,"1","-",".","GB42143"
"5","Group1.7","amel_OGSv3.2","gene",294842,294842,"0.786704","-",".","GB53211"
"9","Group1.8","amel_OGSv3.2","gene",61988,61988,"1","-",".","GB54843"
"13","Group1.18","amel_OGSv3.2","gene",17861,17861,"0.999999","+",".","GB46539"
"27","Group1.21","amel_OGSv3.2","gene",130212,130212,"1","+",".","GB45856"
"28","Group1.21","amel_OGSv3.2","gene",424328,424328,"0.517193","-",".","GB45827"
"29","Group1.21","amel_OGSv3.2","gene",424528,424528,"0.517193","-",".","GB45827"
"30","Group1.21","amel_OGSv3.2","gene",600181,600181,"0.730838","-",".","GB45812"
"31","Group1.21","amel_OGSv3.2","gene",600221,600221,"0.730838","-",".","GB45812"
"32","Group1.21","amel_OGSv3.2","gene",608205,608205,"1","+",".","GB45886"
"33","Group1.21","amel_OGSv3.2","gene",608218,608218,"1","+",".","GB45886"
"34","Group1.21","amel_OGSv3.2","gene",608205,608205,"1","-",".","GB45811"
"35","Group1.21","amel_OGSv3.2","gene",608218,608218,"1","-",".","GB45811"
"55","Group1.22","amel_OGSv3.2","gene",531051,531051,"0.999828","+",".","GB44798"
"56","Group1.22","amel_OGSv3.2","gene",640246,640246,"0.999999","+",".","GB44808"
"57","Group1.22","amel_OGSv3.2","gene",640259,640259,"0.999999","+",".","GB44808"
"58","Group1.22","amel_OGSv3.2","gene",676073,676073,"1","+",".","GB44812"
"65","Group1.23","amel_OGSv3.2","gene",130068,130068,"1","+",".","GB46478"
"70","Group1.29","amel_OGSv3.2","gene",221380,221380,"0.999995","-",".","GB47438"
"71","Group1.29","amel_OGSv3.2","gene",440586,440586,"1","+",".","GB47469"
"77","Group1.37","amel_OGSv3.2","gene",1903185,1903185,"0.949104","-",".","GB51545"
"80","Group2.7","amel_OGSv3.2","gene",222595,222595,"0.815436","+",".","GB43462"
