"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"9","Group1.1","amel_OGSv3.2","gene",1134341,1134341,"1","-",".","GB42145"
"10","Group1.1","amel_OGSv3.2","gene",1136468,1136468,"1","-",".","GB42145"
"11","Group1.1","amel_OGSv3.2","gene",1142053,1142053,"1","+",".","GB42186"
"12","Group1.1","amel_OGSv3.2","gene",1251843,1251843,"0.949828","+",".","GB42188"
"13","Group1.1","amel_OGSv3.2","gene",1252005,1252005,"0.949828","+",".","GB42188"
"14","Group1.1","amel_OGSv3.2","gene",1345495,1345495,"1","+",".","GB42192"
"23","Group1.7","amel_OGSv3.2","gene",294842,294842,"0.786704","-",".","GB53211"
"31","Group1.8","amel_OGSv3.2","gene",274260,274260,"0.539748","+",".","GB54862"
"32","Group1.8","amel_OGSv3.2","gene",61988,61988,"1","-",".","GB54843"
"33","Group1.8","amel_OGSv3.2","gene",62476,62476,"1","-",".","GB54843"
"47","Group1.10","amel_OGSv3.2","gene",1382509,1382509,"0.763096","+",".","GB40866"
"48","Group1.10","amel_OGSv3.2","gene",1382519,1382519,"0.763096","+",".","GB40866"
"49","Group1.10","amel_OGSv3.2","gene",1382575,1382575,"0.763096","+",".","GB40866"
"50","Group1.10","amel_OGSv3.2","gene",229158,229158,"0.244638","+",".","GB40808"
"51","Group1.10","amel_OGSv3.2","gene",363545,363545,"0.994417","-",".","GB40764"
"58","Group1.14","amel_OGSv3.2","gene",336475,336475,"0.999999","+",".","GB51863"
"59","Group1.14","amel_OGSv3.2","gene",336485,336485,"0.999999","+",".","GB51863"
"60","Group1.14","amel_OGSv3.2","gene",445337,445337,"1","+",".","GB51866"
"95","Group1.21","amel_OGSv3.2","gene",128290,128290,"1","+",".","GB45856"
"96","Group1.21","amel_OGSv3.2","gene",128444,128444,"1","+",".","GB45856"
"97","Group1.21","amel_OGSv3.2","gene",130149,130149,"1","+",".","GB45856"
"98","Group1.21","amel_OGSv3.2","gene",424328,424328,"0.517193","-",".","GB45827"
"99","Group1.21","amel_OGSv3.2","gene",424528,424528,"0.517193","-",".","GB45827"
"100","Group1.21","amel_OGSv3.2","gene",503179,503179,"1","-",".","GB45821"
"101","Group1.21","amel_OGSv3.2","gene",541985,541985,"1","+",".","GB45881"
"102","Group1.21","amel_OGSv3.2","gene",567860,567860,"0.263564","+",".","GB45883"
"103","Group1.21","amel_OGSv3.2","gene",600221,600221,"0.730838","-",".","GB45812"
"104","Group1.21","amel_OGSv3.2","gene",600249,600249,"0.730838","-",".","GB45812"
"105","Group1.21","amel_OGSv3.2","gene",600828,600828,"0.730838","-",".","GB45812"
"106","Group1.21","amel_OGSv3.2","gene",608205,608205,"1","+",".","GB45886"
"107","Group1.21","amel_OGSv3.2","gene",608218,608218,"1","+",".","GB45886"
"108","Group1.21","amel_OGSv3.2","gene",608232,608232,"1","+",".","GB45886"
"109","Group1.21","amel_OGSv3.2","gene",608317,608317,"1","+",".","GB45886"
"110","Group1.21","amel_OGSv3.2","gene",609007,609007,"1","+",".","GB45886"
"111","Group1.21","amel_OGSv3.2","gene",608205,608205,"1","-",".","GB45811"
"112","Group1.21","amel_OGSv3.2","gene",608218,608218,"1","-",".","GB45811"
"113","Group1.21","amel_OGSv3.2","gene",608232,608232,"1","-",".","GB45811"
"114","Group1.21","amel_OGSv3.2","gene",608317,608317,"1","-",".","GB45811"
"115","Group1.21","amel_OGSv3.2","gene",609007,609007,"1","-",".","GB45811"
"146","Group1.23","amel_OGSv3.2","gene",294505,294505,"1","+",".","GB46490"
"147","Group1.23","amel_OGSv3.2","gene",294564,294564,"1","+",".","GB46490"
"148","Group1.23","amel_OGSv3.2","gene",591010,591010,"1","-",".","GB46425"
"149","Group1.23","amel_OGSv3.2","gene",596517,596517,"1","-",".","GB46425"
"150","Group1.23","amel_OGSv3.2","gene",995128,995128,"0.999982","+",".","GB46524"
"157","Group1.27","amel_OGSv3.2","gene",309945,309945,"0.999994","-",".","GB55272"
"183","Group1.29","amel_OGSv3.2","gene",173305,173305,"1","+",".","GB47449"
"184","Group1.29","amel_OGSv3.2","gene",398011,398011,"1","+",".","GB47466"
"185","Group1.29","amel_OGSv3.2","gene",435819,435819,"1","-",".","GB47420"
"186","Group1.29","amel_OGSv3.2","gene",435822,435822,"1","-",".","GB47420"
"187","Group1.29","amel_OGSv3.2","gene",435937,435937,"1","-",".","GB47420"
"188","Group1.29","amel_OGSv3.2","gene",532685,532685,"0.999974","-",".","GB47418"
"189","Group1.29","amel_OGSv3.2","gene",647451,647451,"1","+",".","GB47488"
"190","Group1.29","amel_OGSv3.2","gene",647671,647671,"1","+",".","GB47488"
"191","Group1.29","amel_OGSv3.2","gene",654681,654681,"1","-",".","GB47405"
"192","Group1.29","amel_OGSv3.2","gene",654692,654692,"1","-",".","GB47405"
"193","Group1.29","amel_OGSv3.2","gene",654695,654695,"1","-",".","GB47405"
"194","Group1.29","amel_OGSv3.2","gene",654710,654710,"1","-",".","GB47405"
"215","Group1.37","amel_OGSv3.2","gene",160659,160659,"0.998378","+",".","GB51596"
"216","Group1.37","amel_OGSv3.2","gene",160939,160939,"0.998378","+",".","GB51596"
"217","Group1.37","amel_OGSv3.2","gene",1903185,1903185,"0.949104","-",".","GB51545"
"218","Group1.37","amel_OGSv3.2","gene",1913884,1913884,"0.949104","-",".","GB51545"
"230","Group2.7","amel_OGSv3.2","gene",157696,157696,"0.986052","+",".","GB43459"
"231","Group2.7","amel_OGSv3.2","gene",222595,222595,"0.815436","+",".","GB43462"
"232","Group2.7","amel_OGSv3.2","gene",300884,300884,"1","+",".","GB43467"
"233","Group2.7","amel_OGSv3.2","gene",951015,951015,"0.999997","+",".","GB43487"
"240","Group2.11","amel_OGSv3.2","gene",190562,190562,"1","-",".","GB50764"
"246","Group2.15","amel_OGSv3.2","gene",1062330,1062330,"1","-",".","GB46583"
"247","Group2.15","amel_OGSv3.2","gene",1064411,1064411,"1","-",".","GB46583"
"255","Group2.18","amel_OGSv3.2","gene",1217761,1217761,"1","-",".","GB49749"
"256","Group2.18","amel_OGSv3.2","gene",1217826,1217826,"1","-",".","GB49749"
"276","Group2.19","amel_OGSv3.2","gene",1025037,1025037,"0.999999","+",".","GB55574"
"277","Group2.19","amel_OGSv3.2","gene",1268017,1268017,"0.983218","+",".","GB55584"
"278","Group2.19","amel_OGSv3.2","gene",2875,2875,"1","+",".","GB55506"
"279","Group2.19","amel_OGSv3.2","gene",3965,3965,"1","+",".","GB55506"
"280","Group2.19","amel_OGSv3.2","gene",1651785,1651785,"0.99228","-",".","GB55417"
"281","Group2.19","amel_OGSv3.2","gene",1652197,1652197,"0.99228","-",".","GB55417"
"282","Group2.19","amel_OGSv3.2","gene",20492,20492,"1","+",".","GB55507"
"283","Group2.19","amel_OGSv3.2","gene",625119,625119,"0.999892","+",".","GB55550"
"284","Group2.19","amel_OGSv3.2","gene",625309,625309,"0.999892","+",".","GB55550"
"285","Group2.19","amel_OGSv3.2","gene",625576,625576,"0.999892","+",".","GB55550"
"286","Group2.19","amel_OGSv3.2","gene",625581,625581,"0.999892","+",".","GB55550"
"303","Group3.5","amel_OGSv3.2","gene",189999,189999,"0.934572","+",".","GB46925"
"304","Group3.5","amel_OGSv3.2","gene",190109,190109,"0.934572","+",".","GB46925"
"315","Group3.7","amel_OGSv3.2","gene",10814,10814,"0.999999","+",".","GB51500"
"316","Group3.7","amel_OGSv3.2","gene",79665,79665,"1","+",".","GB51508"
"317","Group3.7","amel_OGSv3.2","gene",80354,80354,"1","+",".","GB51508"
"318","Group3.7","amel_OGSv3.2","gene",80357,80357,"1","+",".","GB51508"
"325","Group3.8","amel_OGSv3.2","gene",1909717,1909717,"1","+",".","GB55853"
"344","Group3.15","amel_OGSv3.2","gene",377261,377261,"1","+",".","GB47043"
"345","Group3.15","amel_OGSv3.2","gene",377313,377313,"1","+",".","GB47043"
"346","Group3.15","amel_OGSv3.2","gene",377500,377500,"1","+",".","GB47043"
"347","Group3.15","amel_OGSv3.2","gene",379071,379071,"1","+",".","GB47043"
"348","Group3.15","amel_OGSv3.2","gene",482370,482370,"1","-",".","GB47020"
"349","Group3.15","amel_OGSv3.2","gene",482508,482508,"1","-",".","GB47020"
"350","Group3.15","amel_OGSv3.2","gene",482768,482768,"1","-",".","GB47020"
"351","Group3.15","amel_OGSv3.2","gene",494118,494118,"0.999999","-",".","GB47018"
"352","Group3.15","amel_OGSv3.2","gene",536682,536682,"1","+",".","GB47046"
"353","Group3.15","amel_OGSv3.2","gene",536696,536696,"1","+",".","GB47046"
"354","Group3.15","amel_OGSv3.2","gene",767247,767247,"0.716155","-",".","GB47009"
"369","Group3.16","amel_OGSv3.2","gene",515079,515079,"1","+",".","GB41252"
"379","Group3.18","amel_OGSv3.2","gene",200626,200626,"0.999999","+",".","GB46140"
"380","Group3.18","amel_OGSv3.2","gene",200904,200904,"0.999999","+",".","GB46140"
"381","Group3.18","amel_OGSv3.2","gene",201080,201080,"0.999999","+",".","GB46140"
"382","Group3.18","amel_OGSv3.2","gene",329361,329361,"0.841162","-",".","GB46114"
"383","Group3.18","amel_OGSv3.2","gene",400732,400732,"1","-",".","GB46112"
"384","Group3.18","amel_OGSv3.2","gene",401095,401095,"1","-",".","GB46112"
"391","Group3.19","amel_OGSv3.2","gene",52276,52276,"0.999876","+",".","GB50640"
"393","Group4.5","amel_OGSv3.2","gene",1264393,1264393,"0.948893","+",".","GB53150"
"407","Group4.6","amel_OGSv3.2","gene",182999,182999,"0.999975","-",".","GB49559"
"408","Group4.6","amel_OGSv3.2","gene",183765,183765,"0.999975","-",".","GB49559"
"409","Group4.6","amel_OGSv3.2","gene",209205,209205,"1","+",".","GB49573"
"410","Group4.6","amel_OGSv3.2","gene",519475,519475,"1","+",".","GB49582"
"411","Group4.6","amel_OGSv3.2","gene",519477,519477,"1","+",".","GB49582"
"412","Group4.6","amel_OGSv3.2","gene",623083,623083,"1","+",".","GB49590"
"413","Group4.6","amel_OGSv3.2","gene",831857,831857,"0.994011","+",".","GB49601"
"427","Group4.7","amel_OGSv3.2","gene",211358,211358,"0.227455","-",".","GB55911"
"428","Group4.7","amel_OGSv3.2","gene",357612,357612,"1","+",".","GB55948"
"429","Group4.7","amel_OGSv3.2","gene",357654,357654,"1","+",".","GB55948"
"430","Group4.7","amel_OGSv3.2","gene",357696,357696,"1","+",".","GB55948"
"437","Group4.9","amel_OGSv3.2","gene",2152781,2152781,"0.600711","-",".","GB50385"
"438","Group4.9","amel_OGSv3.2","gene",394520,394520,"1","+",".","GB50460"
"455","Group4.13","amel_OGSv3.2","gene",2290414,2290414,"1","+",".","GB44223"
"456","Group4.13","amel_OGSv3.2","gene",2290555,2290555,"1","+",".","GB44223"
"457","Group4.13","amel_OGSv3.2","gene",2290615,2290615,"1","+",".","GB44223"
"458","Group4.13","amel_OGSv3.2","gene",2290783,2290783,"1","+",".","GB44223"
"459","Group4.13","amel_OGSv3.2","gene",2290805,2290805,"1","+",".","GB44223"
"460","Group4.13","amel_OGSv3.2","gene",406070,406070,"1","+",".","GB44130"
"461","Group4.13","amel_OGSv3.2","gene",406688,406688,"1","+",".","GB44130"
"462","Group4.13","amel_OGSv3.2","gene",406070,406070,"0.988765","-",".","GB44078"
"463","Group4.13","amel_OGSv3.2","gene",406688,406688,"0.988765","-",".","GB44078"
"464","Group4.13","amel_OGSv3.2","gene",562363,562363,"0.841162","+",".","GB44148"
"465","Group4.13","amel_OGSv3.2","gene",963839,963839,"1","+",".","GB44172"
"482","Group4.16","amel_OGSv3.2","gene",250119,250119,"0.999999","+",".","GB53011"
"483","Group4.16","amel_OGSv3.2","gene",250119,250119,"1","-",".","GB53000"
"491","Group5.2","amel_OGSv3.2","gene",730843,730843,"1","+",".","GB52306"
"492","Group5.2","amel_OGSv3.2","gene",732485,732485,"1","+",".","GB52306"
"499","Group5.9","amel_OGSv3.2","gene",67034,67034,"0.764568","+",".","GB46739"
"500","Group5.9","amel_OGSv3.2","gene",67203,67203,"0.764568","+",".","GB46739"
"507","Group5.14","amel_OGSv3.2","gene",1225627,1225627,"1","+",".","GB44615"
"508","Group5.14","amel_OGSv3.2","gene",756598,756598,"0.999995","+",".","GB44587"
"509","Group5.14","amel_OGSv3.2","gene",763650,763650,"0.996235","+",".","GB44588"
"515","Group5.15","amel_OGSv3.2","gene",25559,25559,"1","-",".","GB47829"
"519","Group5.18","amel_OGSv3.2","gene",585768,585768,"0.791846","+",".","GB41372"
"531","Group5.20","amel_OGSv3.2","gene",412052,412052,"0.999643","+",".","GB45717"
"532","Group5.20","amel_OGSv3.2","gene",412414,412414,"0.999643","+",".","GB45717"
"533","Group5.20","amel_OGSv3.2","gene",424706,424706,"0.999997","+",".","GB45719"
"534","Group5.20","amel_OGSv3.2","gene",468403,468403,"1","-",".","GB45649"
"535","Group5.20","amel_OGSv3.2","gene",479302,479302,"1","-",".","GB45646"
"543","Group6.1","amel_OGSv3.2","gene",173879,173879,"0.999657","+",".","GB51210"
"544","Group6.1","amel_OGSv3.2","gene",280136,280136,"1","+",".","GB51213"
"549","Group6.2","amel_OGSv3.2","gene",456044,456044,"0.999661","-",".","GB45762"
"553","Group6.10","amel_OGSv3.2","gene",342267,342267,"0.999989","+",".","GB54483"
"555","Group6.15","amel_OGSv3.2","gene",232290,232290,"1","-",".","GB46019"
"556","Group6.15","amel_OGSv3.2","gene",239335,239335,"1","-",".","GB46018"
"561","Group6.31","amel_OGSv3.2","gene",220765,220765,"0.999946","-",".","GB43403"
"562","Group6.31","amel_OGSv3.2","gene",220834,220834,"0.999946","-",".","GB43403"
"567","Group6.32","amel_OGSv3.2","gene",399243,399243,"0.826882","-",".","GB53531"
"568","Group6.32","amel_OGSv3.2","gene",491732,491732,"0.968175","-",".","GB53530"
"573","Group6.37","amel_OGSv3.2","gene",102351,102351,"1","+",".","GB45393"
"574","Group6.37","amel_OGSv3.2","gene",102365,102365,"1","+",".","GB45393"
"575","Group6.37","amel_OGSv3.2","gene",401493,401493,"0.992927","-",".","GB45364"
"589","Group7.6","amel_OGSv3.2","gene",211749,211749,"0.996899","+",".","GB44262"
"590","Group7.6","amel_OGSv3.2","gene",242506,242506,"1","+",".","GB44263"
"591","Group7.6","amel_OGSv3.2","gene",249633,249633,"0.859932","-",".","GB44247"
"592","Group7.6","amel_OGSv3.2","gene",250916,250916,"0.859932","-",".","GB44247"
"593","Group7.6","amel_OGSv3.2","gene",316421,316421,"1","+",".","GB44271"
"594","Group7.6","amel_OGSv3.2","gene",316421,316421,"1","-",".","GB44237"
"608","Group7.7","amel_OGSv3.2","gene",159806,159806,"0.99992","-",".","GB46250"
"609","Group7.7","amel_OGSv3.2","gene",24237,24237,"0.999993","+",".","GB46259"
"610","Group7.7","amel_OGSv3.2","gene",24237,24237,"1","-",".","GB46257"
"617","Group7.9","amel_OGSv3.2","gene",102152,102152,"1","+",".","GB42544"
"621","Group7.12","amel_OGSv3.2","gene",453286,453286,"1","-",".","GB49222"
"625","Group7.17","amel_OGSv3.2","gene",521511,521511,"0.864504","-",".","GB43285"
"626","Group7.17","amel_OGSv3.2","gene",604728,604728,"0.999397","-",".","GB43280"
"635","Group8.1","amel_OGSv3.2","gene",271691,271691,"1","+",".","GB47888"
"636","Group8.1","amel_OGSv3.2","gene",38811,38811,"1","-",".","GB47882"
"652","Group8.6","amel_OGSv3.2","gene",1615776,1615776,"0.999993","-",".","GB40349"
"653","Group8.6","amel_OGSv3.2","gene",1623431,1623431,"0.993679","-",".","GB40348"
