"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Group1.14",336938,336939,"Group1.14","amel_OGSv3.2","gene",332819,338462,"0.999999","+",".","GB51863"
"5","Group1.21",111743,111744,"Group1.21","amel_OGSv3.2","gene",110879,112852,"1","+",".","GB45854"
"10","Group1.41",451318,451319,"Group1.41","amel_OGSv3.2","gene",443490,453086,"1","+",".","GB54989"
"11","Group1.41",451318,451319,"Group1.41","amel_OGSv3.2","gene",451183,456190,"1","-",".","GB54940"
"17","Group2.7",220106,220107,"Group2.7","amel_OGSv3.2","gene",209342,226760,"0.815436","+",".","GB43462"
"22","Group2.19",21097,21098,"Group2.19","amel_OGSv3.2","gene",19995,22872,"1","+",".","GB55507"
"26","Group3.7",121314,121315,"Group3.7","amel_OGSv3.2","gene",114665,133104,"0.999728","+",".","GB51512"
"28","Group3.9",423181,423182,"Group3.9","amel_OGSv3.2","gene",418715,426970,"1","+",".","GB53690"
"32","Group3.9",1204462,1204463,"Group3.9","amel_OGSv3.2","gene",1203645,1204925,"1","+",".","GB53732"
"34","Group3.15",376668,376669,"Group3.15","amel_OGSv3.2","gene",372105,380467,"1","+",".","GB47043"
"38","Group3.15",676438,676439,"Group3.15","amel_OGSv3.2","gene",675855,677338,"1","+",".","GB47054"
"44","Group4.9",1914865,1914866,"Group4.9","amel_OGSv3.2","gene",1901027,1919344,"0.998381","-",".","GB50397"
"47","Group4.13",2291016,2291017,"Group4.13","amel_OGSv3.2","gene",2283880,2291143,"1","+",".","GB44223"
"53","Group5.14",2263679,2263680,"Group5.14","amel_OGSv3.2","gene",2238752,2267385,"0.999942","-",".","GB44445"
"57","Group5.14",2285198,2285199,"Group5.14","amel_OGSv3.2","gene",2277457,2285885,"0.999953","+",".","GB44673"
"60","Group5.14",2285508,2285509,"Group5.14","amel_OGSv3.2","gene",2277457,2285885,"0.999953","+",".","GB44673"
"64","Group5.14",2285604,2285605,"Group5.14","amel_OGSv3.2","gene",2277457,2285885,"0.999953","+",".","GB44673"
"69","Group5.14",2448041,2448042,"Group5.14","amel_OGSv3.2","gene",2444631,2452089,"0.959485","-",".","GB44433"
"73","Group5.15",20806,20807,"Group5.15","amel_OGSv3.2","gene",15290,29693,"1","-",".","GB47829"
"77","Group5.15",212249,212250,"Group5.15","amel_OGSv3.2","gene",210040,216411,"1","-",".","GB47816"
"79","Group5.18",321704,321705,"Group5.18","amel_OGSv3.2","gene",313366,325414,"0.97759","+",".","GB41347"
"83","Group5.18",483370,483371,"Group5.18","amel_OGSv3.2","gene",482538,484558,"1","+",".","GB41358"
"87","Group5.18",483378,483379,"Group5.18","amel_OGSv3.2","gene",482538,484558,"1","+",".","GB41358"
"89","Group5.18",602404,602405,"Group5.18","amel_OGSv3.2","gene",600526,606633,"1","+",".","GB41373"
"93","Group5.20",391488,391489,"Group5.20","amel_OGSv3.2","gene",389185,392209,"1","-",".","GB45657"
"97","Group5.20",411600,411601,"Group5.20","amel_OGSv3.2","gene",403398,414798,"0.999643","+",".","GB45717"
"101","Group5.20",477845,477846,"Group5.20","amel_OGSv3.2","gene",476086,478320,"0.999999","+",".","GB45728"
"105","Group6.2",490638,490639,"Group6.2","amel_OGSv3.2","gene",489434,495021,"1","-",".","GB45760"
"109","Group6.10",342054,342055,"Group6.10","amel_OGSv3.2","gene",317500,343465,"0.999989","+",".","GB54483"
"113","Group6.10",342061,342062,"Group6.10","amel_OGSv3.2","gene",317500,343465,"0.999989","+",".","GB54483"
"117","Group6.10",342083,342084,"Group6.10","amel_OGSv3.2","gene",317500,343465,"0.999989","+",".","GB54483"
"121","Group6.15",229561,229562,"Group6.15","amel_OGSv3.2","gene",225877,238275,"1","-",".","GB46019"
