"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"5","Group1.1","amel_OGSv3.2","gene",1134368,1134368,"1","-",".","GB42145"
"6","Group1.1","amel_OGSv3.2","gene",1251843,1251843,"0.949828","+",".","GB42188"
"7","Group1.1","amel_OGSv3.2","gene",1252005,1252005,"0.949828","+",".","GB42188"
"21","Group1.8","amel_OGSv3.2","gene",269031,269031,"0.999847","-",".","GB54837"
"22","Group1.8","amel_OGSv3.2","gene",274260,274260,"0.539748","+",".","GB54862"
"23","Group1.8","amel_OGSv3.2","gene",61815,61815,"1","-",".","GB54843"
"24","Group1.8","amel_OGSv3.2","gene",61988,61988,"1","-",".","GB54843"
"35","Group1.10","amel_OGSv3.2","gene",1382509,1382509,"0.763096","+",".","GB40866"
"36","Group1.10","amel_OGSv3.2","gene",1382519,1382519,"0.763096","+",".","GB40866"
"37","Group1.10","amel_OGSv3.2","gene",1382575,1382575,"0.763096","+",".","GB40866"
"41","Group1.14","amel_OGSv3.2","gene",336447,336447,"0.999999","+",".","GB51863"
"42","Group1.14","amel_OGSv3.2","gene",336939,336939,"0.999999","+",".","GB51863"
"47","Group1.15","amel_OGSv3.2","gene",1107489,1107489,"0.999333","+",".","GB49004"
"53","Group1.21","amel_OGSv3.2","gene",111733,111733,"1","+",".","GB45854"
"54","Group1.21","amel_OGSv3.2","gene",111744,111744,"1","+",".","GB45854"
"59","Group1.23","amel_OGSv3.2","gene",590964,590964,"1","-",".","GB46425"
"60","Group1.23","amel_OGSv3.2","gene",591010,591010,"1","-",".","GB46425"
"65","Group1.27","amel_OGSv3.2","gene",309945,309945,"0.999994","-",".","GB55272"
"71","Group1.29","amel_OGSv3.2","gene",431796,431796,"0.680243","+",".","GB47468"
"72","Group1.29","amel_OGSv3.2","gene",654681,654681,"1","-",".","GB47405"
"75","Group1.37","amel_OGSv3.2","gene",1908549,1908549,"0.949104","-",".","GB51545"
"80","Group1.41","amel_OGSv3.2","gene",451319,451319,"1","+",".","GB54989"
"81","Group1.41","amel_OGSv3.2","gene",451319,451319,"1","-",".","GB54940"
"91","Group2.7","amel_OGSv3.2","gene",222595,222595,"0.815436","+",".","GB43462"
"92","Group2.7","amel_OGSv3.2","gene",222602,222602,"0.815436","+",".","GB43462"
"93","Group2.7","amel_OGSv3.2","gene",289889,289889,"1","-",".","GB43439"
"94","Group2.7","amel_OGSv3.2","gene",300884,300884,"1","+",".","GB43467"
"102","Group2.11","amel_OGSv3.2","gene",190562,190562,"1","-",".","GB50764"
"111","Group2.19","amel_OGSv3.2","gene",1023405,1023405,"0.999999","+",".","GB55574"
"112","Group2.19","amel_OGSv3.2","gene",3060,3060,"1","+",".","GB55506"
"113","Group2.19","amel_OGSv3.2","gene",1651785,1651785,"0.99228","-",".","GB55417"
"114","Group2.19","amel_OGSv3.2","gene",625309,625309,"0.999892","+",".","GB55550"
"121","Group3.7","amel_OGSv3.2","gene",121315,121315,"0.999728","+",".","GB51512"
"123","Group3.14","amel_OGSv3.2","gene",112968,112968,"0.999997","+",".","GB49171"
"129","Group3.15","amel_OGSv3.2","gene",376669,376669,"1","+",".","GB47043"
"130","Group3.15","amel_OGSv3.2","gene",536682,536682,"1","+",".","GB47046"
"131","Group3.15","amel_OGSv3.2","gene",536696,536696,"1","+",".","GB47046"
"137","Group3.16","amel_OGSv3.2","gene",480338,480338,"0.999823","+",".","GB41249"
"141","Group4.6","amel_OGSv3.2","gene",519477,519477,"1","+",".","GB49582"
"149","Group4.7","amel_OGSv3.2","gene",357612,357612,"1","+",".","GB55948"
"150","Group4.7","amel_OGSv3.2","gene",357654,357654,"1","+",".","GB55948"
"151","Group4.7","amel_OGSv3.2","gene",357696,357696,"1","+",".","GB55948"
"159","Group4.9","amel_OGSv3.2","gene",1915893,1915893,"0.998381","-",".","GB50397"
"160","Group4.9","amel_OGSv3.2","gene",1915924,1915924,"0.998381","-",".","GB50397"
"165","Group4.12","amel_OGSv3.2","gene",66192,66192,"0.0462512","-",".","GB46564"
"190","Group4.13","amel_OGSv3.2","gene",2290123,2290123,"1","+",".","GB44223"
