chr	pos	stat	pvals	fdrs
Group1.1	46872	-3.91947647878647	8.87415209057616e-05	0.00123708329143256
Group1.1	226023	12.0205297364199	2.77188680286345e-33	2.21909337760668e-30
Group1.1	226035	11.587887239874	4.74697454229932e-31	2.95578281500504e-28
Group1.1	226181	-6.29572491619003	3.05966556341607e-10	1.30888288682318e-08
Group1.1	226193	-3.09316600882343	0.00198033322850439	0.0191011831541112
Group1.1	226232	-2.88141674140372	0.00395891812212494	0.0349382317423436
Group1.1	226329	-3.40253349705704	0.000667641704715313	0.0074235399071917
Group1.1	344152	3.72246588585336	0.000197286570788266	0.00251843722710124
Group1.1	1134340	4.50473603794942	6.64554952012421e-06	0.000119173310434484
Group1.1	1134367	5.85194857738585	4.85846858103505e-09	1.70167862050753e-07
Group1.1	1136467	-5.7812353580856	7.41540610064569e-09	2.49585199928039e-07
Group1.1	1141893	-3.90435148500516	9.44783885123585e-05	0.00130408100793906
Group1.1	1142000	-11.4921119841717	1.44534500566832e-30	7.36337582887749e-28
Group1.1	1142052	-4.04014936363383	5.34171713177345e-05	0.000781592240377505
Group1.1	1142269	9.63678189870569	5.59133636617561e-22	1.16051292577956e-19
Group1.1	1142272	9.6487306659878	4.97679172062175e-22	1.05245059631563e-19
Group1.1	1251842	-4.26232315761807	2.02312588051932e-05	0.000323931355269436
Group1.1	1252004	-4.22652284446509	2.37330187663205e-05	0.000376237163130014
Group1.1	1263998	-2.90552650089844	0.00366635800495673	0.0328477542122742
Group1.2	338449	4.43227662706418	9.32432812764686e-06	0.000161027842303029
Group1.2	338467	3.90717635439592	9.33809982217171e-05	0.00129691973738415
Group1.2	747815	-2.85775338000495	0.00426651848473235	0.0373295387797659
Group1.2	762763	8.38807871548766	4.9415131793243e-17	5.48361185285809e-15
Group1.2	783562	-5.23306952630683	1.66717993266672e-07	4.17092693868943e-06
Group1.2	783565	-4.01410692693782	5.96712931970417e-05	0.000866315873254461
Group1.2	813504	-6.17444979956478	6.63942723551471e-10	2.63881916509393e-08
Group1.3	275326	2.78261217765461	0.00539232204801767	0.0454756550144334
Group1.3	468135	3.87329830251029	0.000107372272045721	0.00145341597232903
Group1.3	472907	3.24740992917266	0.00116460519206231	0.0120860138820688
Group1.3	473111	-4.8754153893524	1.08579728945446e-06	2.26622272257087e-05
Group1.7	53621	5.63372511143386	1.76358051441583e-08	5.44523702632853e-07
Group1.7	53733	3.52794901536015	0.000418792812084613	0.00490986384711751
Group1.7	54519	-3.2327996891777	0.00122583483708642	0.0126163056511153
Group1.7	294841	-4.43301548270717	9.29241902280128e-06	0.000160758680020299
Group1.7	294891	-3.71460525296085	0.000203521147480599	0.00259211934200291
Group1.7	295042	-6.41685518600275	1.39118140117553e-10	6.36422903852054e-09
Group1.7	295139	-2.87915404258939	0.00398743516144678	0.0351622134457085
Group1.7	451106	3.66554608993249	0.00024681135423706	0.00306002395828425
Group1.7	677371	-2.92395634995153	0.00345613207739928	0.031264187508871
Group1.8	61814	-5.61959251507865	1.91408362500664e-08	5.82963295355283e-07
Group1.8	61987	-4.04444405962647	5.24474289719863e-05	0.000771431474958035
Group1.8	65957	-2.96258698533643	0.00305065599427534	0.0280449784377133
Group1.8	269030	-3.36561839417253	0.000763722843987925	0.00835102988821138
Group1.8	274259	-3.5001187859239	0.000465050876322883	0.00540133701743717
Group1.10	229246	3.68862237714053	0.000225471571776776	0.00283942177131922
Group1.10	229450	3.6629621337588	0.000249315405462604	0.00307938644017894
Group1.10	229594	3.00292722930175	0.00267396361940998	0.0249540251843023
Group1.10	322751	3.44557638607566	0.000569842887717462	0.00646437154406611
Group1.10	322775	4.27722100660518	1.89240903809362e-05	0.000306062344862241
Group1.10	322796	3.55839834738154	0.000373123141784798	0.00443945241308282
Group1.10	323077	-2.91075766118922	0.00360553547043955	0.0324324571048848
Group1.10	325604	-6.56683537663012	5.13958125028918e-11	2.49369812351693e-09
Group1.10	338913	-4.64414339818765	3.41490323363229e-06	6.58764809682457e-05
Group1.10	339648	3.05785584961315	0.00222926784441162	0.0211764059016742
Group1.10	339747	-4.22481045699575	2.39141968655082e-05	0.000378039941422589
